GeneID,Gene,Description,CON,H9,H18
553384,cox10 ,COX10 heme A:farnesyltransferase cytochrome c oxidase assembly factor,9.97,4.98,3.34
553433,pisd ,phosphatidylserine decarboxylase,10.65,5.88,3.98
553452,si:dkey-180p18.9 ,si:dkey-180p18.9,13.57,9.00,7.85
553465,si:ch211-235e18.3 ,salt-inducible kinase 1,25.83,11.65,5.84
553527,mlf1 ,myeloid leukemia factor 1,41.06,29.61,16.72
553555,mrpl13 ,mitochondrial ribosomal protein L13,15.03,6.50,6.51
553660,ndufs5 ,NADH dehydrogenase (ubiquinone) Fe-S protein 5,195.38,37.44,45.06
553672,ndufs2 ,NADH dehydrogenase (ubiquinone) Fe-S protein 2,85.50,20.10,23.66
553734,scdb ,stearoyl-CoA desaturase b,17.66,7.34,6.38
553744,ctdsp1 ,"CTD (carboxy-terminal domain, RNA polymerase II, polypeptide A) small phosphatase 1",6.73,3.57,3.45
553755,atp5a1 ,"ATP synthase, H+ transporting, mitochondrial F1 complex, alpha subunit 1, cardiac muscle",530.04,163.57,178.38
553776,calcoco2 ,calcium binding and coiled-coil domain 2,10.98,5.40,4.34
553793,oard1 ,O-acyl-ADP-ribose deacylase 1,9.37,4.66,3.25
553799,mrpl30 ,mitochondrial ribosomal protein L30,16.12,7.12,8.32
554101,cox5aa ,cytochrome c oxidase subunit Vaa,296.45,124.68,103.17
554103,cox7a2a ,cytochrome c oxidase subunit VIIa polypeptide 2a (liver),150.47,37.71,46.48
554108,zgc:112307 ,zgc:112307,4.81,3.47,2.45
554125,ndufa2 ,"NADH dehydrogenase (ubiquinone) 1 alpha subcomplex, 2",161.51,32.24,44.04
554135,atp5b ,"ATP synthase, H+ transporting, mitochondrial F1 complex, beta polypeptide",792.00,201.29,177.54
554154,uqcrb ,ubiquinol-cytochrome c reductase binding protein,327.79,78.74,85.99
554232,ephb2b ,eph receptor B2b,5.14,2.17,3.08
554826,crip2 ,cysteine-rich protein 2,7.13,2.86,4.26
555206,neu3.3 ,"sialidase 3 (membrane sialidase), tandem duplicate 3",2.99,2.25,1.31
555328,serpinh1a ,"serpin peptidase inhibitor, clade H (heat shock protein 47), member 1a",3.74,1.76,2.37
555362,tns1b ,tensin 1b,34.91,13.41,11.09
555510,cyp2aa12 ,"cytochrome P450, family 2, subfamily AA, polypeptide 12",70.22,61.52,43.78
555536,si:dkey-240h12.4 ,si:dkey-240h12.4,5.46,2.43,3.43
555639,cd164 ,"CD164 molecule, sialomucin",45.73,11.73,9.95
555655,bmpr2b ,"bone morphogenetic protein receptor, type II b (serine/threonine kinase)",5.79,2.63,3.43
555812,ucp2 ,uncoupling protein 2,87.29,21.93,38.99
555994,gramd1a ,GRAM domain containing 1A,4.28,2.08,1.84
556058,si:ch211-194c3.5 ,si:ch211-194c3.5,5.44,2.90,2.55
556081,rusc2 ,RUN and SH3 domain containing 2,2.55,1.99,1.38
556095,LOC556095 ,rho GTPase-activating protein 21-like,4.15,3.20,2.05
556148,prickle1b ,prickle homolog 1b,4.63,2.47,2.31
556208,akap1b ,A kinase (PRKA) anchor protein 1b,15.74,8.84,5.17
556229,aass ,aminoadipate-semialdehyde synthase,6.77,3.73,3.68
556258,tcap ,titin-cap (telethonin),320.54,236.66,94.72
556360,stim1a ,stromal interaction molecule 1a,23.30,15.91,9.65
556398,fam171a2 ,"family with sequence similarity 171, member A2",2.96,2.25,1.23
556480,slc6a6a ,"solute carrier family 6 (neurotransmitter transporter), member 6a",10.43,5.96,4.77
556580,wfs1b ,Wolfram syndrome 1b (wolframin),8.52,4.57,4.50
556605,lamb1b ,"laminin, beta 1b",15.04,6.91,5.37
556625,btf3 ,basic transcription factor 3,215.62,140.98,138.28
556734,itgb1a ,"integrin, beta 1a",13.54,9.22,5.92
556762,add3a ,adducin 3 (gamma) a,22.73,13.45,8.82
556764,LOC556764 ,probable ATP-dependent RNA helicase DDX17,12.22,5.51,4.19
556778,mrps22 ,mitochondrial ribosomal protein S22,7.06,3.09,2.80
556779,ksr1b ,kinase suppressor of ras 1b,1.96,1.35,1.06
556813,znrf3 ,zinc and ring finger 3,2.12,1.44,1.10
557121,ube4a ,"ubiquitination factor E4A (UFD2 homolog, yeast)",3.69,1.78,1.55
557176,pik3r1 ,"phosphoinositide-3-kinase, regulatory subunit 1 (alpha)",22.18,8.57,6.79
557195,lrpprc ,leucine-rich pentatricopeptide repeat containing,19.61,15.09,11.89
557217,zgc:193541 ,zgc:193541,184.31,47.70,56.11
557223,LOC557223 ,si:ch211-1a19.3,8.99,3.85,3.90
557270,eif3f ,"eukaryotic translation initiation factor 3, subunit F",195.94,72.91,60.49
557288,prex2 ,"phosphatidylinositol-3,4,5-trisphosphate-dependent Rac exchange factor 2",6.59,4.36,2.62
557610,zgc:175214 ,zgc:175214,6.14,2.98,3.08
557660,palld ,"palladin, cytoskeletal associated protein",9.80,6.20,5.68
557789,mrpl47 ,mitochondrial ribosomal protein L47,14.59,5.45,10.10
557912,ssh2b ,slingshot protein phosphatase 2b,9.39,4.84,3.96
558102,hp1bp3 ,"heterochromatin protein 1, binding protein 3",4.09,2.46,4.73
558150,sacs ,sacsin molecular chaperone,2.72,2.06,1.64
558368,atpif1b ,ATPase inhibitory factor 1b,110.28,32.08,35.19
558396,cyp27c1 ,"cytochrome P450, family 27, subfamily C, polypeptide 1",8.59,3.77,4.68
558430,lcorl ,ligand dependent nuclear receptor corepressor-like,2.84,1.86,1.45
558432,LOC558432 ,"sprouty-related, EVH1 domain-containing protein 2-like",5.25,2.48,2.00
558436,jmjd1cb ,jumonji domain containing 1Cb,5.36,4.18,3.13
558476,stard8 ,StAR-related lipid transfer (START) domain containing 8,4.41,3.50,2.35
558479,herc2 ,HECT and RLD domain containing E3 ubiquitin protein ligase 2,7.65,3.12,3.35
558595,akap11 ,A kinase (PRKA) anchor protein 11,3.05,1.87,1.52
558772,nfe2l1b ,"nuclear factor, erythroid 2-like 1b",8.77,5.92,4.67
559514,tnrc18 ,trinucleotide repeat containing 18,4.33,3.03,2.11
559569,egln2 ,egl-9 family hypoxia-inducible factor 2,8.56,5.15,3.34
559634,nedd4l ,"neural precursor cell expressed, developmentally down-regulated 4-like",10.99,5.45,4.27
559638,mkl1b ,megakaryoblastic leukemia (translocation) 1b,4.52,2.53,2.72
559659,atp5ia ,"ATP synthase, H+ transporting, mitochondrial Fo complex, subunit Ea",103.04,42.20,56.55
559897,isoc1 ,isochorismatase domain containing 1,4.52,2.68,1.99
560211,map3k3 ,mitogen-activated protein kinase kinase kinase 3,4.43,3.51,1.98
560297,pgm5 ,phosphoglucomutase 5,20.49,6.21,5.67
560327,tom1l2 ,target of myb1-like 2 (chicken),3.13,1.79,1.34
560455,rptor ,"regulatory associated protein of MTOR, complex 1",3.81,2.48,1.96
560620,hemk1 ,HemK methyltransferase family member 1,5.71,3.34,2.29
560753,tpi1b ,triosephosphate isomerase 1b,241.99,91.67,64.12
560923,arhgef9b ,Cdc42 guanine nucleotide exchange factor (GEF) 9b,5.29,4.13,2.78
561010,si:dkey-261h17.1 ,si:dkey-261h17.1,19.69,12.84,8.74
561138,xpo1b ,"exportin 1 (CRM1 homolog, yeast) b",5.06,2.74,2.70
561159,wnk1b ,WNK lysine deficient protein kinase 1b,8.18,5.23,3.41
561193,tbc1d1 ,"TBC1 (tre-2/USP6, BUB2, cdc16) domain family, member 1",6.98,5.02,8.01
561210,micu1 ,mitochondrial calcium uptake 1,11.51,4.04,3.75
561277,LOC561277 ,ankyrin repeat and IBR domain containing 1b,3.15,2.23,1.74
561317,vwa8 ,von Willebrand factor A domain containing 8,3.89,2.01,1.74
561924,ddit3 ,DNA-damage-inducible transcript 3,21.64,17.65,9.58
561943,neurl1aa ,neuralized E3 ubiquitin protein ligase 1Aa,4.03,3.48,2.25
561971,vcam1 ,vascular cell adhesion molecule 1,3.21,2.01,1.57
562022,olfml3b ,olfactomedin-like 3b,6.68,3.88,7.32
562149,sdhb ,"succinate dehydrogenase complex, subunit B, iron sulfur (Ip)",106.87,24.33,34.87
562219,ndufb11 ,"NADH dehydrogenase (ubiquinone) 1 beta subcomplex, 11",82.97,17.45,13.68
562231,mark2a ,MAP/microtubule affinity-regulating kinase 2a,8.70,5.64,4.64
562475,c7a ,complement component 7a,19.29,7.65,10.79
562516,ppp1r37 ,"protein phosphatase 1, regulatory subunit 37",3.45,2.21,1.77
562530,si:ch73-103b11.2 ,si:ch73-103b11.2,3.34,2.18,1.73
562666,cluha ,clustered mitochondria (cluA/CLU1) homolog a,16.10,13.29,8.95
562714,nfs1 ,NFS1 cysteine desulfurase,7.26,3.08,3.57
562849,coro1cb ,"coronin, actin binding protein, 1Cb",9.23,6.02,3.24
562912,ltbp3 ,latent transforming growth factor beta binding protein 3,6.13,5.06,3.59
562925,atp11a ,"ATPase, class VI, type 11A",10.17,7.49,4.24
563174,si:ch211-195m20.1 ,si:ch211-195m20.1,5.11,2.55,2.02
563249,grsf1 ,G-rich RNA sequence binding factor 1,11.89,7.11,5.66
563328,LOC563328 ,lysosome-associated membrane glycoprotein 1-like,6.81,3.69,2.85
563365,podxl ,podocalyxin-like,7.29,3.92,3.39
563432,pde3b ,"phosphodiesterase 3B, cGMP-inhibited",4.91,2.35,1.97
563460,nlk2 ,"nemo-like kinase, type 2",7.19,4.05,2.49
563476,cox7b ,cytochrome c oxidase subunit VIIb,543.69,72.45,73.66
563548,prosc ,proline synthetase co-transcribed homolog (bacterial),8.76,5.32,4.28
563855,chac1 ,"ChaC, cation transport regulator homolog 1 (E. coli)",57.18,32.53,14.85
563864,LOC563864 ,si:ch73-173h19.3,26.01,9.48,9.60
563920,dll4 ,delta-like 4 (Drosophila),3.04,2.45,1.32
564077,LOC564077 ,CD36 antigen-like,40.83,15.17,33.63
564134,arpp21 ,"cAMP-regulated phosphoprotein, 21",34.26,20.21,14.02
564379,cyc1 ,cytochrome c-1,119.51,39.33,42.40
564487,usp31 ,ubiquitin specific peptidase 31,1.56,0.93,0.81
564552,ogdha ,oxoglutarate (alpha-ketoglutarate) dehydrogenase a (lipoamide),69.68,19.83,18.03
564572,stard7 ,StAR-related lipid transfer (START) domain containing 7,20.88,9.86,7.73
564633,ddx6 ,DEAD (Asp-Glu-Ala-Asp) box helicase 6,17.10,10.02,7.02
564666,lmtk2 ,lemur tyrosine kinase 2,4.83,4.31,2.80
564873,jund ,jun D proto-oncogene,45.71,19.10,10.17
565192,gpr146 ,G protein-coupled receptor 146,5.86,3.94,2.19
565373,hm:gc12 ,agrin,5.23,3.43,2.47
565379,phkg1a ,"phosphorylase kinase, gamma 1a (muscle)",53.89,36.92,30.21
565404,gpatch8 ,G patch domain containing 8,5.23,2.96,2.74
565429,hspg2 ,heparan sulfate proteoglycan 2,24.05,10.40,14.27
565498,ube2s ,ubiquitin-conjugating enzyme E2S,4.11,2.21,1.92
565501,eef1da ,eukaryotic translation elongation factor 1 delta a (guanine nucleotide exchange protein),198.00,74.26,68.08
565522,pnrc2 ,proline-rich nuclear receptor coactivator 2,163.03,62.09,42.84
565541,LOC565541 ,novel protein similar to vertebrate valosin-containing protein (VCP),9.52,5.43,4.29
565576,plk2b ,polo-like kinase 2b (Drosophila),8.88,5.54,2.99
565617,cdh15 ,"cadherin 15, type 1, M-cadherin (myotubule)",11.93,4.24,5.28
565829,emc10 ,ER membrane protein complex subunit 10,9.12,5.93,4.12
565849,ppp2r3a ,"protein phosphatase 2, regulatory subunit B'', alpha",43.28,12.03,10.08
565969,cdc14ab ,cell division cycle 14Ab,6.17,2.76,2.98
565971,etnk1 ,ethanolamine kinase 1,20.01,7.41,10.27
566067,gid8b ,GID complex subunit 8 homolog b (S. cerevisiae),8.09,3.24,2.73
566257,si:dkeyp-23e4.3 ,si:dkeyp-23e4.3,4.57,3.07,2.34
566367,abcd1 ,"ATP-binding cassette, sub-family D (ALD), member 1",9.48,4.17,3.24
566384,tmem59 ,transmembrane protein 59,13.26,6.41,9.09
566459,myo1c ,"myosin Ic, paralog b",17.68,13.14,8.22
566766,kif1ab ,kinesin family member 1Ab,2.67,1.39,1.55
566796,lama4 ,"laminin, alpha 4",27.48,9.51,8.77
566998,pde4d ,"phosphodiesterase 4D, cAMP-specific",5.41,2.77,2.34
567021,ern2 ,endoplasmic reticulum to nucleus signaling 2,3.40,1.91,1.40
567041,mia3 ,"melanoma inhibitory activity family, member 3",5.90,3.86,2.93
567248,tmem184c ,transmembrane protein 184C,2.09,1.55,1.09
567263,zgc:158409 ,high mobility group nucleosomal binding domain 7,19.83,7.39,19.12
567536,si:ch211-69i14.4 ,"myosin Ic, paralog a",10.43,5.83,4.10
567576,syne1b ,"spectrin repeat containing, nuclear envelope 1b",2.83,2.04,3.20
567608,nrgna ,"neurogranin (protein kinase C substrate, RC3) a",11.51,5.40,5.43
567639,pleca ,plectin a,19.89,8.41,11.81
567667,slc12a7b ,"solute carrier family 12 (potassium/chloride transporter), member 7b",15.67,5.46,4.58
567724,snai3 ,snail family zinc finger 3,8.45,4.74,3.42
567726,si:ch211-163l21.7 ,si:ch211-163l21.7,101.86,87.82,60.18
567771,col6a2 ,"collagen, type VI, alpha 2",15.07,6.41,4.67
567879,vps13d ,vacuolar protein sorting 13 homolog D (S. cerevisiae),6.00,3.04,2.56
567949,piezo1 ,piezo-type mechanosensitive ion channel component 1,11.11,8.49,6.79
568268,si:ch211-218g4.2 ,si:ch211-218g4.2,9.52,4.65,2.98
568288,plce1 ,"phospholipase C, epsilon 1",9.25,7.24,5.82
568518,lrp5 ,low density lipoprotein receptor-related protein 5,5.38,3.65,2.79
568531,ubr1 ,ubiquitin protein ligase E3 component n-recognin 1,2.80,1.54,2.29
568584,gigyf1 ,GRB10 interacting GYF protein 1,3.19,1.82,1.38
568811,si:ch211-51c14.1 ,si:ch211-51c14.1,7.96,3.15,3.94
569053,ppap2a ,si:ch73-96j23.1,31.89,16.39,13.87
569076,lyrm2 ,LYR motif containing 2,62.99,35.79,26.27
569100,rev3l ,"REV3-like, polymerase (DNA directed), zeta, catalytic subunit",2.01,1.17,1.59
569113,kctd3 ,potassium channel tetramerization domain containing 3,4.68,3.95,2.32
569196,atrnl1b ,attractin-like 1b,5.40,3.06,3.14
569217,jam3b ,junctional adhesion molecule 3b,13.00,7.43,4.51
569359,jade2 ,jade family PHD finger 2,3.18,1.76,2.09
569436,rnh1 ,ribonuclease/angiogenin inhibitor 1,1.30,0.96,0.62
569482,sdhaf2 ,succinate dehydrogenase complex assembly factor 2,15.26,6.76,8.26
569510,mylka ,"myosin, light chain kinase a",2.33,1.65,1.13
569607,mical2a ,"microtubule associated monooxygenase, calponin and LIM domain containing 2a",6.36,5.10,2.83
569735,slco3a1 ,"solute carrier organic anion transporter family, member 3A1",7.51,4.60,2.81
569755,col6a1 ,"collagen, type VI, alpha 1",17.22,8.19,5.21
569770,cox8b ,cytochrome c oxidase subunit 8b,403.44,66.49,36.53
569841,mrps18c ,mitochondrial ribosomal protein S18C,21.17,8.97,10.98
569903,shrprbck1r ,sharpin and rbck1 related,10.24,9.25,5.88
569989,ca5 ,carbonic anhydrase Va,7.78,4.00,3.33
570024,crtc3 ,CREB regulated transcription coactivator 3,4.40,3.39,2.25
570454,LOC570454 ,thyroid hormone receptor associated protein 3-like,7.32,3.63,2.47
570587,paqr6 ,progestin and adipoQ receptor family member VI,7.18,3.66,3.40
570589,gpr107 ,G protein-coupled receptor 107,7.31,3.16,3.09
570626,stab1 ,stabilin 1,2.05,1.36,1.16
570640,nat15 ,"N-acetyltransferase 15 (GCN5-related, putative)",5.61,2.33,2.10
570641,si:rp71-19m20.1 ,si:rp71-19m20.1,7.51,5.61,3.93
570822,pam ,peptidylglycine alpha-amidating monooxygenase,8.57,6.43,4.53
570866,pank2 ,pantothenate kinase 2,7.14,3.55,3.25
570868,itga1 ,"integrin, alpha 1",9.82,5.26,5.08
570926,lzts2a ,"leucine zipper, putative tumor suppressor 2a",6.33,3.29,2.35
571083,esyt1b ,extended synaptotagmin-like protein 1b,10.30,6.59,6.30
571402,si:ch211-191a24.3 ,si:ch211-191a24.3,3.81,1.75,2.36
571549,si:ch73-108m21.1 ,KN motif and ankyrin repeat domains 2,7.18,3.25,2.87
572011,slmapa ,sarcolemma associated protein a,13.29,7.90,5.20
572406,utrn ,utrophin,9.31,5.35,8.42
572518,oat ,ornithine aminotransferase,9.06,7.10,3.52
573021,ndufb9 ,"NADH dehydrogenase (ubiquinone) 1 beta subcomplex, 9",91.07,23.66,19.80
573209,cry2a ,cryptochrome circadian clock 1ba,13.89,5.15,3.86
573301,nexn ,nexilin (F actin binding protein),6.76,3.72,2.67
573336,nae1 ,nedd8 activating enzyme E1 subunit 1,7.40,2.97,3.51
573360,xpnpep3 ,"X-prolyl aminopeptidase 3, mitochondrial",9.04,4.25,4.17
573619,ndufab1a ,"NADH dehydrogenase (ubiquinone) 1, alpha/beta subcomplex, 1a",62.81,24.13,19.19
573689,ndufs4 ,"NADH dehydrogenase (ubiquinone) Fe-S protein 4, (NADH-coenzyme Q reductase)",84.18,20.44,16.91
573723,acadvl ,"acyl-CoA dehydrogenase, very long chain",159.64,28.47,23.00
573765,rgs5a ,regulator of G-protein signaling 5a,20.81,13.52,6.52
606666,spcs1 ,signal peptidase complex subunit 1,33.75,16.27,39.20
641575,actn2 ,"actinin, alpha 2b",18.08,5.80,5.69
652952,ogt.2 ,"O-linked N-acetylglucosamine (GlcNAc) transferase, tandem duplicate 2",7.75,4.79,4.44
654830,lgi3 ,"leucine-rich repeat LGI family, member 3",10.22,5.88,3.14
664753,trim55b ,tripartite motif containing 55b,7.71,3.62,3.24
664756,eef1a1l2 ,"eukaryotic translation elongation factor 1 alpha 1, like 2",615.35,202.87,110.76
678515,upk1a ,uroplakin 1a,12.85,8.39,5.29
678546,sptssb ,"serine palmitoyltransferase, small subunit B",4.86,3.45,2.21
678607,pmp22b ,peripheral myelin protein 22b,44.01,22.96,12.97
692297,depdc7 ,DEP domain containing 7,5.18,3.14,2.12
724003,rsrp1 ,arginine/serine-rich protein 1,31.99,24.33,16.80
724006,mgat5 ,"mannosyl (alpha-1,6-)-glycoprotein beta-1,6-N-acetyl-glucosaminyltransferase",3.24,1.91,1.54
751598,emilin1b ,elastin microfibril interfacer 1b,7.36,2.83,3.47
751639,mrps14 ,mitochondrial ribosomal protein S14,19.77,7.45,7.57
751730,mrpl32 ,mitochondrial ribosomal protein L32,30.27,12.07,10.56
767689,bcam ,basal cell adhesion molecule (Lutheran blood group),12.90,5.89,17.63
767750,atp5ib ,"ATP synthase, H+ transporting, mitochondrial Fo complex, subunit Eb",87.52,39.87,35.21
768182,mcu ,mitochondrial calcium uniporter,31.48,8.57,7.29
768187,mrpl18 ,mitochondrial ribosomal protein L18,27.76,8.43,11.48
768289,krt94 ,keratin 94,74.18,19.47,25.49
777621,zgc:153952 ,zgc:153952,3.41,1.59,1.83
777624,agpat2 ,"1-acylglycerol-3-phosphate O-acyltransferase 2 (lysophosphatidic acid acyltransferase, beta)",3.20,2.48,1.62
777720,zranb1b ,"zinc finger, RAN-binding domain containing 1b",6.74,3.82,2.39
777737,clstn1 ,calsyntenin 1,4.77,2.71,2.77
791143,rabep2 ,"rabaptin, RAB GTPase binding effector protein 2",4.67,2.05,2.71
791208,creg1 ,cellular repressor of E1A-stimulated genes 1,24.17,14.29,7.81
791453,mhc1zba ,major histocompatibility complex class I ZBA,49.22,13.18,25.72
791455,prdx2 ,peroxiredoxin 2,55.68,29.11,38.68
791731,gpr133 ,adhesion G protein-coupled receptor D1,3.85,2.35,1.67
791742,b2ml ,"beta-2-microglobulin, like",67.06,31.70,24.47
791878,cst3 ,cystatin C (amyloid angiopathy and cerebral hemorrhage),37.49,19.54,16.55
792097,amd1 ,adenosylmethionine decarboxylase 1,21.16,9.10,9.56
792610,hspb6 ,"heat shock protein, alpha-crystallin-related, b6",114.72,45.30,21.96
792613,zgc:195173 ,zgc:195173,11.19,4.23,4.03
792924,wu:fb55g09 ,wu:fb55g09,15.58,8.24,21.71
792949,fryb ,furry homolog b (Drosophila),7.05,2.92,2.40
793200,gabarap ,GABA(A) receptor-associated protein b,23.12,13.26,13.21
793834,hadhab ,"hydroxyacyl-CoA dehydrogenase/3-ketoacyl-CoA thiolase/enoyl-CoA hydratase (trifunctional protein), alpha subunit b",26.39,12.45,14.36
793939,mgrn1a ,"mahogunin, ring finger 1a",4.82,2.49,2.68
794153,nhsl2 ,NHS-like 2,1.32,0.76,0.65
794486,krt4 ,keratin 4,34.95,20.06,14.08
794545,nudt19 ,nudix (nucleoside diphosphate linked moiety X)-type motif 19,11.92,4.38,7.14
794625,si:dkeyp-80c12.10 ,si:dkeyp-80c12.10,569.46,101.33,95.74
794752,ckmb ,"creatine kinase, muscle b",4315.80,516.32,266.67
795095,hmgb1b ,high mobility group box 1b,6.14,2.71,6.19
795788,ccl25b ,chemokine (C-C motif) ligand 25b,39.38,23.32,18.44
795920,si:dkey-220k22.1 ,si:dkey-220k22.1,3.32,1.72,1.79
796833,sidt2 ,"SID1 transmembrane family, member 2",4.74,2.69,5.51
796868,si:zfos-1192g2.3 ,si:zfos-1192g2.3,20.33,6.75,9.16
796997,ndufs7 ,"NADH dehydrogenase (ubiquinone) Fe-S protein 7, (NADH-coenzyme Q reductase)",113.82,25.41,19.30
797063,ndufb5 ,NADH dehydrogenase (ubiquinone) 1 beta subcomplex 5,84.02,27.68,19.47
798291,atp5e ,"ATP synthase, H+ transporting, mitochondrial F1 complex, epsilon subunit",706.07,96.00,99.68
798429,timm23 ,translocase of inner mitochondrial membrane 23 homolog a (yeast),16.96,10.16,9.92
798746,vps13c ,vacuolar protein sorting 13 homolog C (S. cerevisiae),3.33,2.15,3.34
799109,tenc1a ,tensin 2a,7.07,5.95,3.91
799566,eif4ebp1 ,eukaryotic translation initiation factor 4E binding protein 1,17.24,9.83,7.97
799859,LOC799859 ,dysbindin-like,12.25,8.40,4.68
799891,mid2 ,midline 2,5.96,2.48,2.90
100000119,LOC100000119 ,transmembrane protein 245-like,6.50,3.48,3.41
100000126,zmp:0000000612 ,si:ch1073-376c22.1,24.81,23.04,15.28
100000190,si:ch1073-440b2.1 ,si:ch1073-440b2.1,5.52,2.26,2.47
100000684,neu3.5 ,"sialidase 3 (membrane sialidase), tandem duplicate 5",19.10,5.93,7.69
100000862,LOC100000862 ,single-pass membrane protein with aspartate-rich tail 1b,21.14,9.51,10.08
100002010,abcc1 ,"ATP-binding cassette, sub-family C (CFTR/MRP), member 1",2.54,1.94,1.47
100002059,LOC100002059 ,A disintegrin and metalloproteinase with thrombospondin motifs 15-like,8.20,6.55,3.28
100002072,3/6/2016,membrane-associated ring finger (C3HC4) 6,11.64,6.17,3.66
100002535,tmem70 ,transmembrane protein 70,9.13,4.90,3.26
100002756,LOC100002756 ,novel protein similar to vertebrate sorbin and SH3 domain containing family,41.91,20.10,16.65
100003209,si:dkey-226m8.7 ,si:dkey-226m8.7,90.28,23.12,28.88
100003223,ppp1cb ,"protein phosphatase 1, catalytic subunit, beta isozyme",23.06,12.72,11.89
100003431,plekhb2 ,"pleckstrin homology domain containing, family B (evectins) member 2",8.94,4.19,6.02
100003572,tnnt3b ,"troponin T type 3b (skeletal, fast)",1039.24,183.17,110.01
100003844,laptm4a ,lysosomal protein transmembrane 4 alpha,40.46,24.37,20.65
100004850,LOC100004850 ,apoptosis-associated tyrosine kinase a,7.02,2.90,5.32
100004941,grpel2 ,"GrpE-like 2, mitochondrial",13.24,10.15,7.02
100005449,zfyve9a ,"zinc finger, FYVE domain containing 9a",4.26,1.86,1.65
100005568,nfic ,nuclear factor I/C,7.56,4.20,3.06
100005587,aldh9a1a.1 ,"aldehyde dehydrogenase 9 family, member A1a, tandem duplicate 1",15.83,7.10,8.10
100005732,zfyve1 ,"zinc finger, FYVE domain containing 1",3.65,1.81,1.82
100006201,letm2 ,leucine zipper-EF-hand containing transmembrane protein 2,9.65,6.81,3.16
100006255,itga7 ,"integrin, alpha 7",12.44,5.75,10.03
100009631,slc43a1b ,"solute carrier family 43 (amino acid system L transporter), member 1b",5.83,3.64,2.87
100036767,plod2 ,"procollagen-lysine, 2-oxoglutarate 5-dioxygenase 2",3.41,2.29,1.80
100049705,lama2 ,"laminin, alpha 2",10.45,4.82,5.14
100093703,mrpl36 ,mitochondrial ribosomal protein L36,52.93,12.97,10.95
100136852,zgc:174863 ,zgc:174863,32.49,12.09,12.51
100136858,si:dkey-208k22.3 ,si:dkey-208k22.3,10.61,4.24,3.51
100137105,zgc:174710 ,zgc:174710,8.13,3.35,4.06
100137725,cyp1c2 ,"cytochrome P450, family 1, subfamily C, polypeptide 2",7.98,4.08,6.11
100141493,si:ch211-222f23.6 ,si:ch211-222f23.6,11.09,8.59,6.14
100148274,LOC100148274 ,si:dkeyp-69b9.6,1.76,0.99,0.89
100148657,LOC100148657 ,neurotactin-like,12.16,5.40,7.98
100148736,iqsec1 ,IQ motif and Sec7 domain 1b,5.82,2.60,2.71
100149130,ptprb ,"protein tyrosine phosphatase, receptor type, b",14.18,5.73,5.44
100150939,nes ,nestin,20.70,8.83,9.85
100151026,LOC100151026 ,Rho guanine nucleotide exchange factor (GEF) 40,2.60,1.37,2.62
100151347,fb06f03 ,high-mobility group nucleosome binding domain 1-like,13.71,5.29,10.15
100151488,dock9b ,dedicator of cytokinesis 9b,9.06,3.97,3.13
100151562,LOC100151562 ,"FYVE, RhoGEF and PH domain containing 5a",5.64,4.38,2.87
100190889,si:dkey-206d17.5 ,si:dkey-206d17.5,9.26,3.61,3.61
100310784,twf2 ,twinfilin actin-binding protein 2,34.13,11.24,7.95
100317496,lonrf1l ,"LON peptidase N-terminal domain and ring finger 1, like",5.19,2.92,3.58
100321011,si:ch211-165e15.1 ,si:ch211-165e15.1,29.57,22.75,17.25
100330440,LOC100330440 ,"ornithine aminotransferase, mitochondrial-like",10.28,7.50,3.55
100330769,znf462 ,zinc finger protein 462,2.94,2.00,3.28
100331431,LOC100331431 ,protein FAM208A-like,3.18,1.61,1.78
100331556,LOC100331556 ,signal-induced proliferation-associated 1-like protein 2,4.70,2.17,1.97
100331798,si:ch1073-429i10.3 ,si:ch1073-429i10.3,15.65,9.82,7.91
100332034,ndufb3 ,"NADH dehydrogenase (ubiquinone) 1 beta subcomplex, 3",103.78,37.40,49.78
100332309,clpxb ,caseinolytic mitochondrial matrix peptidase chaperone subunit b,9.22,5.23,4.44
100332503,smim4 ,small integral membrane protein 4,20.98,6.10,6.39
100332617,nbeal1 ,neurobeachin-like 1,1.93,1.11,1.56
100333064,LOC100333064 ,cytochrome b-c1 complex subunit 9,159.37,49.70,60.79
100333199,syde2 ,"synapse defective 1, Rho GTPase, homolog 2 (C. elegans)",3.36,1.67,2.01
100333424,serf2 ,small EDRK-rich factor 2,31.27,13.49,10.10
100334289,map3k15 ,mitogen-activated protein kinase kinase kinase 15,7.89,4.20,2.78
100334642,LOC100334642 ,caskin-2-like,9.77,4.94,3.88
100535428,LOC100535428 ,"NACHT, LRR and PYD domains-containing protein 3-like",1053.75,578.41,454.16
100535531,LOC100535531 ,uncharacterized LOC100535531,48.74,29.84,11.50
100535765,ndufb1 ,"NADH dehydrogenase (ubiquinone) 1 beta subcomplex, 1, 7kDa",168.68,40.47,48.88
100535877,slc25a28 ,"solute carrier family 25 (mitochondrial iron transporter), member 28",8.76,4.97,4.20
100537329,mcc ,mutated in colorectal cancers,3.88,1.77,2.16
100537771,LOC100537771 ,solute carrier family 12 member 2-like,12.86,8.21,3.80
100537875,LOC100537875 ,E3 ubiquitin-protein ligase HERC2-like,8.71,5.15,4.31
101448000,pappaa ,"pregnancy-associated plasma protein A, pappalysin 1a",6.38,3.99,2.35
101883084,LOC101883084 ,"NACHT, LRR and PYD domains-containing protein 3-like",1.17,0.79,0.74
